sensor,t11,t12,t21,t22,t31,t32,t41,t42,t51,t52,t61,t62
153,0.28032,0.25408,0.14896,0.1144,0.08896,0.08856,0.0612,0.31656,0.30136,0.0052,0.18128,0.30464
154,0.27896,0.25064,0.15128,0.114,0.08192,0.09056,0.06128,0.01784,0.30128,0.30208,0.18016,0.302
155,0.2824,0.2504,0.14928,0.11416,0.072,0.0932,0.39472,0.32992,0.28224,0.09912,0.18488,0.30184
156,0.2812,0.2504,0.14912,0.11848,0.07208,0.0908,0.04328,0.46376,0.10008,0.3036,0.1948,0.3016
157,0.28112,0.24976,0.15104,0.11856,0.07144,0.0948,0.04312,0.79712,0.36,0.33344,0.17712,0.30296
158,0.2812,0.2452,0.1476,0.11848,0.06952,0.08968,0.38712,0.79704,0.2388,0.35824,0.18048,0.30256
159,0.28464,0.25312,0.14768,0.11864,0.08184,0.08808,0.62088,0.08024,0.29896,0.1852,0.18056,0.30248
160,0.28656,0.25512,0.15584,0.12112,0.07928,0.08816,0.05952,0.3592,0.29896,0.01592,0.17784,0.3036
161,0.28104,0.26232,0.1484,0.11992,0.07936,0.08832,0.04992,0.35928,0.17728,0.21632,0.18288,0.30392
162,0.2812,0.24368,0.1596,0.11976,0.07952,0.07648,0.18872,0.4656,0.2408,0.16056,0.18632,0.302
163,0.27432,0.2436,0.14928,0.11984,0.07016,0.076,0.08152,0.10712,0.09096,0.13576,0.18504,0.29928
164,0.2888,0.266,0.14744,0.12328,0.07752,0.07312,0.54344,0.47432,0.23704,0.26,0.18456,0.3032
165,0.2864,0.26584,0.14872,0.12344,0.06864,0.08072,0.60992,0.3788,0.23744,0.26,0.18072,0.30472
166,0.2816,0.25784,0.148,0.12216,0.07952,0.0716,0.35752,0.728,0.30032,0.2492,0.18552,0.30168
167,0.29992,0.25784,0.14968,0.12256,0.07352,0.07584,0.25288,0.728,0.09752,0.14344,0.18264,0.30768
168,0.2856,0.2576,0.15896,0.12304,0.06704,0.07552,0.05984,0.2984,0.26456,0.258,0.18288,0.308
169,0.27616,0.26192,0.1548,0.12776,0.06848,0.07688,0.07904,0.75832,0.236,0.26112,0.18064,0.30648
170,0.29256,0.26144,0.15736,0.12416,0.06848,0.07144,0.38952,0.75816,0.34488,0.26128,0.18392,0.30648
171,0.29256,0.26152,0.15952,0.12392,0.06208,0.08304,0.34888,0.47944,0.23392,0.26152,0.18264,0.31128
172,0.2912,0.2612,0.17232,0.12416,0.06416,0.07224,0.43376,0.1372,0.00664,0.26528,0.18392,0.31224
173,0.28856,0.26608,0.15272,0.13016,0.06408,0.07224,0.05728,0.10024,0.0068,0.37136,0.18504,0.30672
174,0.30296,0.26232,0.16672,0.13016,0.0732,0.06792,0.4464,0.54064,0.32744,0.0204,0.19072,0.3068
175,0.30168,0.26688,0.16224,0.13008,0.06512,0.07208,0.23312,0.49272,0.03248,0.26056,0.18288,0.30712
176,0.30176,0.26688,0.16208,0.13016,0.0632,0.07208,0.09488,0.13048,0.234,0.2612,0.18784,0.3072
177,0.29576,0.26808,0.1652,0.12992,0.06208,0.07088,0.59424,0.47984,0.00696,0.25712,0.18792,0.316
178,0.2956,0.26544,0.16232,0.12848,0.07352,0.06808,0.05984,0.10552,0.22928,0.25864,0.18784,0.31016
179,0.31192,0.28392,0.1584,0.12856,0.056,0.07144,0.5844,0.31688,0.2308,0.25728,0.19152,0.31216
180,0.2972,0.2736,0.1712,0.14056,0.0632,0.06928,0.32736,0.05152,0.23072,0.2572,0.18832,0.30872
181,0.29776,0.26776,0.16504,0.1404,0.05552,0.07056,0.32768,0.1144,0.23072,0.2584,0.18784,0.31432
182,0.29784,0.26792,0.15864,0.14032,0.05552,0.06864,0.36664,0.75144,0.23056,0.25576,0.18768,0.31424
183,0.30032,0.26832,0.16056,0.14016,0.05576,0.06872,0.36656,0.75144,0.17904,0.25616,0.1916,0.31152
184,0.29712,0.26832,0.1692,0.1368,0.05568,0.06944,0.36632,0.75176,0.34272,0.25736,0.18968,0.31144
185,0.2972,0.27216,0.16056,0.13688,0.05552,0.062,0.53864,0.04352,0.23072,0.25824,0.18976,0.31056
186,0.29744,0.27576,0.16024,0.13688,0.05352,0.0616,0.5944,0.0436,0.23072,0.25824,0.1896,0.31072
187,0.31384,0.27552,0.1676,0.13472,0.05392,0.06168,0.4052,0.52576,0.23064,0.29392,0.18944,0.3112
188,0.30728,0.27768,0.16776,0.13272,0.05416,0.06152,0.60192,0.7512,0.23336,0.25392,0.19096,0.31128
189,0.30848,0.27352,0.1692,0.13728,0.0548,0.05992,0.3636,0.32904,0.05,0.36072,0.19064,0.31384
190,0.30848,0.2768,0.16304,0.13728,0.05384,0.05984,0.04632,0.27392,0.2272,0.25416,0.20752,0.31376
191,0.31456,0.2768,0.16456,0.13712,0.05424,0.0596,0.04664,0.15536,0.34264,0.25376,0.20224,0.314
192,0.30024,0.30248,0.1672,0.1364,0.0552,0.05944,0.3016,0.60752,0.22728,0.25384,0.19424,0.31352
193,0.30024,0.30248,0.172,0.14304,0.05208,0.05968,0.35792,0.6076,0.22728,0.2536,0.2016,0.31376
194,0.3204,0.27688,0.16872,0.1368,0.052,0.05968,0.358,0.2712,0.04784,0.25256,0.1884,0.31384
195,0.30648,0.27704,0.16264,0.15088,0.052,0.05976,0.35816,0.42128,0.23128,0.25552,0.19224,0.31416
196,0.30672,0.2908,0.17272,0.15376,0.05208,0.05856,0.35856,0.14056,0.22616,0.2536,0.19544,0.314
197,0.30208,0.29072,0.17216,0.15216,0.05192,0.0584,0.32296,0.35944,0.22736,0.25416,0.19672,0.31496
198,0.31264,0.27624,0.17216,0.1524,0.05432,0.05832,0.3572,0.27248,0.38576,0.2528,0.198,0.31968
199,0.31544,0.28672,0.17208,0.14144,0.052,0.05824,0.23456,0.1552,0.22616,0.26432,0.19552,0.3196
200,0.31808,0.28096,0.16608,0.14712,0.05208,0.05912,0.23456,0.26784,0.22624,0.2516,0.19488,0.31944
201,0.228,0.28104,0.16904,0.15184,0.05376,0.06016,0.6732,0.47072,0.116,0.17744,0.1976,0.31936
202,0.30888,0.27616,0.1696,0.14696,0.05384,0.06072,0.18464,0.398,0.11408,0.2556,0.19904,0.3228
203,0.30904,0.27976,0.17544,0.14712,0.05392,0.05952,0.03784,0.25352,0.11512,0.25416,0.19816,0.32288
204,0.30896,0.27984,0.16936,0.14712,0.05312,0.06096,0.68752,0.43016,0.22784,0.0848,0.194,0.31944
205,0.31368,0.29424,0.16904,0.1484,0.05504,0.06104,0.04856,0.23408,0.11608,0.08472,0.194,0.31936
206,0.32392,0.28472,0.16944,0.14112,0.05504,0.06112,0.04856,0.1268,0.11408,0.25144,0.19896,0.32248
207,0.324,0.29072,0.17112,0.15568,0.05496,0.05976,0.03856,0.26576,0.2804,0.25152,0.20008,0.32248
208,0.05312,0.28184,0.17168,0.1592,0.05352,0.06128,0.0588,0.07736,0.22888,0.2528,0.1956,0.3228
209,0.32072,0.28424,0.1764,0.1592,0.05496,0.05904,0.28176,0.0828,0.22896,0.25128,0.20216,0.32288
210,0.37088,0.2828,0.18504,0.15008,0.05624,0.06808,0.07264,0.0824,0.22864,0.20568,0.20232,0.32352
211,0.37088,0.28288,0.17792,0.14992,0.05608,0.06224,0.35096,0.45512,0.14432,0.25056,0.2024,0.32224
212,0.31232,0.28944,0.17808,0.1484,0.05536,0.066,0.46808,0.71248,0.19088,0.2508,0.20312,0.3272
213,0.31112,0.28928,0.1792,0.1484,0.05536,0.06632,0.46816,0.45664,0.1908,0.25288,0.2032,0.32328
214,0.34528,0.37352,0.1852,0.1484,0.05936,0.06648,0.31544,0.77928,0.30648,0.2488,0.20328,0.32936
215,0.34528,0.19184,0.1852,0.1484,0.05464,0.06928,0.27504,0.38872,0.30648,0.24888,0.20528,0.32344
216,0.15768,0.3172,0.17776,0.1496,0.076,0.0656,0.668,0.45496,0.21584,0.21448,0.198,0.3292
217,0.326,0.3084,0.17728,0.15256,0.07584,0.08592,0.6868,0.45496,0.17808,0.25528,0.19672,0.32536
218,0.26672,0.2988,0.1776,0.15608,0.05816,0.068,0.34624,0.45496,0.2248,0.17992,0.20352,0.32848
219,0.26672,0.29624,0.18984,0.15512,0.06992,0.06824,0.03848,0.34328,0.22488,0.17864,0.20288,0.3264
220,0.21608,0.29632,0.18328,0.1552,0.0644,0.07112,0.03856,0.2688,0.2248,0.2528,0.20088,0.32472
221,0.39792,0.29632,0.19952,0.15512,0.06144,0.06912,0.03864,0.26864,0.2896,0.25,0.2024,0.32648
222,0.32768,0.29504,0.18992,0.15496,0.06152,0.06896,0.34656,0.54632,0.11296,0.28408,0.2076,0.32376
223,0.32296,0.29864,0.18904,0.1564,0.06152,0.07256,0.33944,0.46472,0.09392,0.28784,0.20224,0.32376
