sensor,x,y
564,255.8703460693,-295.6558227539
565,256.6220703125,-295.0083007812
566,257.3662719727,-294.3524780273
567,258.1028747559,-293.6882019043
568,258.8318786621,-293.0156250000
569,259.5534362793,-292.3348388672
570,260.2676391602,-291.6460571289
571,260.9745788574,-290.9494323730
572,261.6744384766,-290.2451171875
573,262.3672485352,-289.5332946777
574,263.0531616211,-288.8141479492
575,263.7322998047,-288.0877685547
576,264.4047851562,-287.3543701172
577,265.0706787109,-286.6141357422
578,265.7301330566,-285.8671875000
579,266.3832397461,-285.1137084961
580,267.0301208496,-284.3538208008
581,267.6708984375,-283.5877380371
582,268.3056640625,-282.8156127930
583,268.9345397949,-282.0375671387
584,269.5576477051,-281.2538452148
585,270.1750488281,-280.4645080566
586,270.7869262695,-279.6698303223
587,271.3933410645,-278.8698730469
588,271.9944152832,-278.0648803711
589,272.5903015137,-277.2549438477
590,273.1810607910,-276.4402770996
